1 6 9 0.275910563044818
1 6 10 0.293206530400959
1 7 0 0.55813932568364
1 7 2 0.506943397337049
1 7 3 0.506858783221823
1 7 4 0.316334172376594
1 7 5 0.419704402159603
1 7 6 0.356875087722868
1 7 8 0.188752604342003
1 7 9 0.391987829136485
1 7 10 0.156552274038342
1 8 0 0.395278238972626
1 8 2 0.352317838348544
1 8 3 0.364055980742494
1 8 4 0.220778110627038
1 8 5 0.289162263775624
1 8 6 0.296767523363274
1 8 7 0.196010097332139
1 8 9 0.270792107274798
1 8 10 0.235609439253737
1 9 0 0.383398078820145
1 9 2 0.20772549650595
1 9 3 0.295189871470941
1 9 4 0.2304692479885
1 9 5 0.388138797809048
1 9 6 0.276148245123462
1 9 7 0.390583076271411
1 9 8 0.270703303703492
1 9 10 0.364725869638401
1 10 0 0.396645925544298
1 10 2 0.380464524139662
1 10 3 0.369756623638625
1 10 4 0.260057618877092
1 10 5 0.390943224884077
1 10 6 0.293698342474132
1 10 7 0.165015369044032
1 10 8 0.235701720830863
1 10 9 0.365234724362805
2 0 1 0.359736985518997
2 0 3 0.436661261523162
2 0 4 0.249774801972982
2 0 5 0.357941214400445
2 0 6 0.299786595571548
2 0 7 0.428659004511757
2 0 8 0.330080360496263
2 0 9 0.31338413162174
2 0 10 0.330327466344882
2 1 0 0.34346144579511
2 1 3 0.377305284295546
2 1 4 0.167567799563339
2 1 5 0.185846110495543
2 1 6 0.153565631042054
2 1 7 0.285461346296681
2 1 8 0.22508751209992
2 1 9 0.170360202602926
2 1 10 0.183144681143872
2 3 0 0.434912599151231
2 3 1 0.376994896846499
2 3 4 0.283257023019879
2 3 5 0.365435420970789
2 3 6 0.27956076622737
2 3 7 0.424540089454678
2 3 8 0.379796642904506
2 3 9 0.394194397455084
2 3 10 0.362751947867346
2 4 0 0.207919752976551
2 4 1 0.164620720036265
2 4 3 0.283371252583258
2 4 5 0.11939004470715
2 4 6 0.147605146530624
2 4 7 0.139408314349714
2 4 8 0.124886190154253
2 4 9 0.204570568132888
2 4 10 0.11960795518645
2 5 0 0.340559816785794
2 5 1 0.185934621185386
2 5 3 0.365926128892596
2 5 4 0.121877878935247
2 5 6 0.160238918766157
2 5 7 0.281248850421081
2 5 8 0.185996385745193
2 5 9 0.218561204112119
2 5 10 0.21553190308874
2 6 0 0.268595534429873
2 6 1 0.153490765576831
2 6 3 0.281435732073493
2 6 4 0.149736118267929
2 6 5 0.160007727184944
2 6 7 0.224219985463797
2 6 8 0.200410449824172
2 6 9 0.19298287674547
2 6 10 0.161387615460125
2 7 0 0.448017623519412
2 7 1 0.283949749447137
2 7 3 0.424863087770325
2 7 4 0.140552427671415
2 7 5 0.279643105094363
2 7 6 0.224009967292438
2 7 8 0.119254170788187
2 7 9 0.230954631495388
2 7 10 0.125052203786325
2 8 0 0.314320094250985
2 8 1 0.225080379527407
2 8 3 0.379918640102119
2 8 4 0.127381175882895
2 8 5 0.185858991529935
2 8 6 0.201157989083318
2 8 7 0.12614730414251
2 8 9 0.184360368811519
2 8 10 0.1581325490424
2 9 0 0.282799401481334
